"...1","Identificador","ual_prov","ual_estr","ual_segm","al_ncues","fp_numt","fp_numl","rc_clacul","fp_k704","fp_k705","fp_k706ha","fp_k707ha","fp_k708","fp_k709","fp_k710","fp_k711","fp_k712","fp_venmernac","fp_venmerint","fp_prepasuelo","fp_poda","fp_tutoreo","fp_despunte","fp_riego","fp_superf_regada_ha","fp_porc_surc","fp_porc_aspe","fp_porc_micr","fp_porc_gote","fp_porc_nebu","fp_porc_otro","fp_obsmetrie","fp_aferti","fp_forg","fp_cant1_fo","fp_umed1_fo","fp_cant2_fo","fp_umed2_fo","fp_cant3_fo","fp_umed3_fo","fp_fqui","fp_cantidad_npk_fq","fp_umed_npk_fq","fp_cantidad_nit_fq","fp_umed_nit_fq","fp_cantidad_fq","fp_umed_fq","fp_cantidad_pot_fq","fp_umed_pot_fq","fp_afito","fp_porg","fp_cantidad_po","fp_umedida_po","fp_pqui","fp_cantidad_her_pq","fp_umed_her_pq","fp_color_her_pq","fp_cantidad_ins_pq","fp_umed_ins_pq","fp_color_ins_pq","fp_cantidad_fun_pq","fp_umed_fun_pq","fp_color_fun_pq","fp_cantidad_pq","fp_umed_pq","fp_color_pq","fp_trabocacont","fp_trabfami","fp_clacu","fp_full_tabaco","fp_tabaco","fp_Bonche","fp_Bouquet","fp_tn","fact_exp_fin"
316,"17045301086910005","17","01","08691","0005",1,1,716,1,3,0.18,0.18,20000,99933,3,3797,25,100,NA,1,1,1,1,1,0.18,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,5,1,1,NA,NA,3000,2,NA,NA,340,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,30,5,4,NA,NA,NA,NA,NA,716,NA,NA,3797,NA,1,81.8320932472549
317,"17045301086910005","17","01","08691","0005",2,2,716,1,10,0.32,0.32,28000,153576,3,5836,25,100,NA,1,1,1,1,1,0.32,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,5,1,1,NA,NA,5000,2,NA,NA,540,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,53,5,4,NA,NA,NA,NA,NA,716,NA,NA,5836,NA,1,85.2711329762298
318,"17045301086910005","17","01","08691","0005",3,3,716,1,6,0.1,0.1,5000,42000,3,1596,25,100,NA,1,1,1,1,1,0.1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,5,1,1,NA,NA,120,2,NA,NA,1800,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,5,5,4,NA,NA,NA,NA,NA,716,NA,NA,1596,NA,1,91.309540672159
319,"17045401050420003","17","01","05042","0003",1,1,716,1,5,0.35,0.35,20000,44800,3,1792,25,100,NA,1,1,1,1,1,0.35,NA,NA,NA,100,NA,NA,NA,1,1,123.04,2,NA,NA,28,1,1,4305.04,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,18.22,2,2,NA,NA,NA,NA,NA,NA,NA,NA,716,NA,NA,1792,NA,1,56.3288192401659
320,"17045401050420003","17","01","05042","0003",2,2,716,1,3,0.3,0.3,17000,38080,3,1523,25,100,NA,1,1,1,1,1,0.3,NA,NA,NA,100,NA,NA,NA,1,1,105.47,2,NA,NA,28,1,1,3690.03,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,16.76,2,2,NA,NA,NA,NA,NA,NA,NA,NA,716,NA,NA,1523,NA,1,59.0892942705124
321,"17045401050420003","17","01","05042","0003",3,3,716,1,0,0.25,0.25,13000,29120,3,1164,25,100,NA,1,1,1,1,1,0.25,NA,NA,NA,100,NA,NA,NA,1,1,87.89,2,NA,NA,28,1,1,3075.03,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,15.29,2,2,NA,NA,NA,NA,NA,NA,NA,NA,716,NA,NA,1164,NA,1,74.0375317833561
322,"17045401050420004","17","01","05042","0004",1,1,716,1,3,0.5,0.5,30000,46080,3,1843,25,100,NA,1,1,1,1,1,0.5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,4800,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,NA,NA,1843,NA,1,42.6216285078461
323,"17045401057200001","17","01","05720","0001",1,1,716,1,2,0.2,0.2,18500,74000,3,2368,25,10,90,1,1,1,1,1,0.2,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,900,2,NA,NA,36,2,1,2,NA,NA,1,NA,NA,NA,6,5,4,12,2,3,NA,NA,NA,NA,1,716,NA,NA,2368,NA,1,24.954572429092
324,"17045401057200006","17","01","05720","0006",1,1,716,1,1,0.1,0.1,10000,28800,3,1037,25,10,90,1,1,1,1,1,0.1,NA,NA,NA,100,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,0.5,5,3,NA,NA,NA,NA,NA,NA,NA,2,716,NA,NA,1037,NA,1,94.7384726212686
325,"17045401057200009","17","01","05720","0009",2,1,716,1,2,0.2,0.2,15000,45000,3,1800,25,15,85,1,1,1,1,1,0.2,NA,NA,NA,50,50,NA,NA,1,1,100,3,NA,NA,30,1,1,5,3,5,3,5,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,20,2,3,NA,NA,NA,NA,NA,716,NA,NA,1800,NA,1,62.2729943773491
