"...1","Identificador","ual_prov","ual_estr","ual_segm","al_ncues","fp_numt","fp_numl","rc_clacul","fp_k704","fp_k705","fp_k706ha","fp_k707ha","fp_k708","fp_k709","fp_k710","fp_k711","fp_k712","fp_venmernac","fp_venmerint","fp_prepasuelo","fp_poda","fp_tutoreo","fp_despunte","fp_riego","fp_superf_regada_ha","fp_porc_surc","fp_porc_aspe","fp_porc_micr","fp_porc_gote","fp_porc_nebu","fp_porc_otro","fp_obsmetrie","fp_aferti","fp_forg","fp_cant1_fo","fp_umed1_fo","fp_cant2_fo","fp_umed2_fo","fp_cant3_fo","fp_umed3_fo","fp_fqui","fp_cantidad_npk_fq","fp_umed_npk_fq","fp_cantidad_nit_fq","fp_umed_nit_fq","fp_cantidad_fq","fp_umed_fq","fp_cantidad_pot_fq","fp_umed_pot_fq","fp_afito","fp_porg","fp_cantidad_po","fp_umedida_po","fp_pqui","fp_cantidad_her_pq","fp_umed_her_pq","fp_color_her_pq","fp_cantidad_ins_pq","fp_umed_ins_pq","fp_color_ins_pq","fp_cantidad_fun_pq","fp_umed_fun_pq","fp_color_fun_pq","fp_cantidad_pq","fp_umed_pq","fp_color_pq","fp_trabocacont","fp_trabfami","fp_clacu","fp_full_tabaco","fp_tabaco","fp_Bonche","fp_Bouquet","fp_tn","fact_exp_fin"
359,"17045463000993533","17","63","00099","3533",13,13,716,1,2,0.73,0.73,51216,496402,1,1328,350,NA,100,1,1,1,1,1,0.73,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,442.38,2,286.89,2,1.13,2,1,1,38.76,5,1,NA,NA,NA,14.75,2,3,230.68,2,3,NA,NA,NA,NA,NA,716,1328,NA,NA,NA,1,1
360,"17045463000993533","17","63","00099","3533",14,14,716,1,1,1.73,1.73,128359,1347770,1,3606,350,NA,100,1,1,1,1,1,1.73,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1048.38,2,679.89,2,2.68,2,1,1,91.86,5,1,NA,NA,NA,34.95,2,3,546.68,2,3,NA,NA,NA,NA,NA,716,3606,NA,NA,NA,1,1
361,"17045463000993533","17","63","00099","3533",15,15,716,1,0,1.79,1.79,125579,843101,1,2256,350,NA,100,1,1,1,1,1,1.79,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1084.74,2,703.47,2,2.77,2,1,1,95.05,5,1,NA,NA,NA,36.16,2,3,565.64,2,3,NA,NA,NA,NA,NA,716,2256,NA,NA,NA,1,1
362,"17045463000993558","17","63","00099","3558",1,1,716,1,13,3.35,3.35,259000,2849000,1,9687,250,0,100,1,1,1,1,1,3.35,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,26800,2,NA,NA,1,NA,NA,11041,2,1375,2,1573,2,1,1,56,5,1,NA,NA,NA,11,5,3,1296,5,4,33,5,3,NA,NA,716,9687,NA,NA,NA,1,1
363,"17045463000993558","17","63","00099","3558",2,2,716,1,8,13.07,13.07,1012000,11418000,1,38821,250,0,100,1,1,1,1,1,13.07,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,104560,2,NA,NA,1,NA,NA,43077,2,5363,2,6137,2,1,1,220,5,1,NA,NA,NA,41,5,3,5058,5,4,130,5,3,NA,NA,716,38821,NA,NA,NA,1,1
364,"17045463000993558","17","63","00099","3558",3,3,716,1,3,3.58,3.58,277000,3333000,1,11332,250,0,100,2,1,1,1,1,3.58,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,28640,2,NA,NA,1,NA,NA,1179,2,1469,2,1681,2,1,1,60,5,1,NA,NA,NA,11,5,3,1385,5,4,35,5,3,NA,NA,716,11332,NA,NA,NA,1,1
365,"17045463000993564","17","63","00099","3564",1,1,716,1,10,4,4,310400,2483200,3,89395,25,NA,100,1,1,1,1,1,4,NA,NA,NA,100,NA,NA,NA,1,1,0.88,4,1.8,4,NA,NA,1,NA,NA,14.44,4,NA,NA,7,4,1,1,889,5,1,NA,NA,NA,53.33,5,2,222,5,4,89,5,4,NA,NA,716,NA,NA,89395,NA,1,1
366,"17045463000993564","17","63","00099","3564",2,2,716,1,5,4,4,316800,2534400,3,91238,25,0,100,1,1,1,1,1,4,NA,NA,NA,100,NA,NA,NA,1,1,0.88,4,1.8,4,NA,NA,1,NA,NA,14.44,4,NA,NA,7,4,1,1,889,5,1,NA,NA,NA,53.33,5,2,222,5,4,89,5,4,NA,NA,716,NA,NA,91238,NA,1,1
367,"17045463000993613","17","63","00099","3613",1,1,716,1,8,25,25,1900000,1.7e+07,3,625600,25,8,92,1,1,1,1,1,25,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,45,4,NA,NA,1,NA,NA,36,4,3.6,4,120,4,1,2,NA,NA,1,NA,NA,NA,1248,5,4,7500,5,3,2200,5,3,NA,NA,716,NA,NA,625600,NA,1,1
368,"17045463000993619","17","63","00099","3619",1,1,716,1,14,5.45,5.45,381500,3868252,3,146994,25,4,96,1,1,1,1,1,5.45,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,14.4,4,NA,NA,1,NA,NA,33567,2,3.21,4,7.2,4,1,1,3319,5,1,18,5,2,94,5,2,1173,5,2,361,5,4,NA,NA,716,NA,NA,146994,NA,1,1
369,"17045463000993619","17","63","00099","3619",2,2,716,1,11,5.47,5.47,382900,3882253,3,147525,25,4,96,1,1,1,1,1,5.47,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,14.5,4,NA,NA,1,NA,NA,33689,2,3.25,4,7.24,4,1,1,3335,5,1,18.1,5,2,94,5,2,1176,5,2,362,5,4,NA,NA,716,NA,NA,147525,NA,1,1
370,"17045463000993619","17","63","00099","3619",3,3,716,1,6,3.28,3.28,278800,3624400,3,137727,25,4,96,1,1,1,1,1,3.28,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,8.7,4,NA,NA,1,NA,NA,20201,2,2,4,4.32,4,1,1,1998,5,1,11,5,2,56,5,2,706,5,2,217,5,4,NA,NA,716,NA,NA,137727,NA,1,1
371,"17045463000993706","17","63","00099","3706",1,1,716,1,13,2,2,150400,1210800,3,45042,25,NA,100,1,1,1,1,1,2,NA,NA,NA,100,NA,NA,NA,1,1,42667,2,42667,2,NA,NA,1,NA,NA,17440,2,NA,NA,140,2,1,1,80,5,1,NA,NA,NA,64,5,3,640,5,3,640,5,2,NA,NA,716,NA,NA,45042,NA,1,1
372,"17045463000993706","17","63","00099","3706",2,2,716,1,8,2,2,155200,1249200,3,46470,25,NA,100,1,1,1,1,1,2,NA,NA,NA,100,NA,NA,NA,1,1,42667,2,42667,2,NA,NA,1,NA,NA,17440,2,NA,NA,140,2,1,1,80,5,1,NA,NA,NA,64,5,3,640,5,3,640,5,2,NA,NA,716,NA,NA,46470,NA,1,1
373,"17045463000993706","17","63","00099","3706",3,3,716,1,4,3.5,3.5,280000,2520000,3,93744,25,NA,100,1,1,1,1,1,3.5,NA,NA,NA,100,NA,NA,NA,1,1,74666,2,74666,2,NA,NA,1,NA,NA,30520,2,NA,NA,2520,2,1,1,140,5,1,NA,NA,NA,112,5,3,1120,5,3,1120,5,2,NA,NA,716,NA,NA,93744,NA,1,1
374,"17045463000993707","17","63","00099","3707",1,1,716,1,6,12,12,1300000,2340000,2,8798,250,10,90,1,1,1,1,1,12,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,117692.76,2,NA,NA,1,NA,NA,134769.24,2,16846.15,2,50538.48,2,1,1,443.04,5,1,22.2,5,3,2358.48,5,4,4043.08,5,4,443.04,5,4,NA,NA,716,NA,8798,NA,NA,1,1
375,"17045463000993708","17","63","00099","3708",1,1,716,1,7,8.9,8.9,6e+05,7e+06,3,252000,25,1,99,1,1,1,1,1,8.9,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,160000,2,NA,NA,1,NA,NA,48000,2,20600,2,400,2,1,2,NA,NA,1,NA,NA,NA,36,5,4,250,5,4,125,5,4,NA,NA,716,NA,NA,252000,NA,1,1
376,"17045463000993709","17","63","00099","3709",1,1,716,1,6,4.8,4.8,350000,3728400,1,9135,400,8,92,1,1,1,1,1,4.8,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,144000,2,NA,NA,1,NA,NA,25200,2,2652,2,11580,2,1,2,NA,NA,1,72,5,4,336,5,2,720,5,3,192,5,4,NA,NA,716,9135,NA,NA,NA,1,1
377,"17045463000993710","17","63","00099","3710",1,1,716,1,15,1.2,1.2,100800,907200,3,34474,25,8,92,1,1,1,1,1,1.2,NA,NA,NA,100,NA,NA,NA,1,1,2.4,4,275,3,288,1,1,NA,NA,10591,2,1026,2,3262,2,1,1,9,5,1,1.2,5,2,6,5,3,72,5,3,45,5,4,NA,NA,716,NA,NA,34474,NA,1,1
378,"17045463000993710","17","63","00099","3710",2,2,716,1,12,1.68,1.68,141120,1270080,3,48263,25,8,92,1,1,1,1,1,1.68,NA,NA,NA,100,NA,NA,NA,1,1,3.36,4,384,3,403,1,1,NA,NA,14828,2,1436,2,4566,2,1,1,1250,5,1,1.68,5,2,8,5,3,101,5,3,63,5,4,NA,NA,716,NA,NA,48263,NA,1,1
379,"17045463000993710","17","63","00099","3710",3,3,716,1,1,1,1,84000,756000,3,28728,25,8,92,1,1,1,1,1,1,NA,NA,NA,100,NA,NA,NA,1,1,2,4,228.75,3,240,1,1,NA,NA,8826,2,855,2,2718,2,1,1,7.5,5,1,1,5,2,5,5,3,60,5,3,37.5,5,4,NA,NA,716,NA,NA,28728,NA,1,1
380,"17045463000993711","17","63","00099","3711",1,1,716,1,5,5,5,325000,4e+06,3,147200,25,10,90,1,1,1,1,1,5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,500,3,2000,1,1,NA,NA,6192,2,NA,NA,33540,2,1,1,120,5,1,NA,NA,NA,250,5,4,1000,5,3,200,5,4,NA,NA,716,NA,NA,147200,NA,1,1
381,"17045463000993712","17","63","00099","3712",1,1,716,1,5,6.27,6.27,414097,3341721,3,132509,25,NA,100,1,1,1,1,1,6.27,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,641.86,4,NA,NA,1,NA,NA,18910,2,1719.1,2,9741.64,2,1,2,NA,NA,1,NA,NA,NA,62.07,2,2,470.38,5,3,248.29,5,2,NA,NA,716,NA,NA,132509,NA,1,1
382,"17045463000993735","17","63","00099","3735",1,1,716,1,4,8.8,8.8,665000,6650000,3,252700,25,1,99,1,1,1,1,1,8.8,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,15,4,NA,NA,1,NA,NA,50400,2,4200,2,27300,2,1,1,105.6,5,1,NA,NA,NA,288,5,4,1020,5,4,312,5,4,NA,NA,716,NA,NA,252700,NA,1,1
383,"17045463000993742","17","63","00099","3742",1,1,716,1,17,10,10,687000,1140000,2,5244,200,10,90,1,1,1,1,1,10,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,18,4,NA,NA,1,NA,NA,4700,2,180,2,3000,2,1,1,120,5,1,NA,NA,NA,112,5,4,120,5,4,120,5,4,NA,NA,716,NA,5244,NA,NA,1,1
384,"17045463000993760","17","63","00099","3760",2,1,716,1,4,12.58,12.58,1164000,8400000,3,309120,25,8,92,1,1,1,1,1,12.58,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,200,4,NA,NA,1,NA,NA,57.8,4,NA,NA,20.2,4,1,2,NA,NA,1,NA,NA,NA,432,5,2,2016,5,2,728,5,2,NA,NA,716,NA,NA,309120,NA,1,1
385,"17045463000993818","17","63","00099","3818",1,1,716,1,18,10.95,10.95,784569,8253666,2,37141,200,NA,100,1,1,1,1,1,10.95,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,102155,2,NA,NA,1,NA,NA,46636,2,136704,2,355,2,1,2,NA,NA,1,NA,NA,NA,854,5,2,1495,2,4,1367,5,2,NA,NA,716,NA,37141,NA,NA,1,1
386,"17045463000993818","17","63","00099","3818",2,2,716,1,9,7.69,7.69,551234,5798982,2,26095,200,NA,100,1,1,1,1,1,7.69,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,71741,2,NA,NA,1,NA,NA,32751,2,96005,2,250,2,1,2,NA,NA,1,NA,NA,NA,600,5,2,1050,2,4,960,5,2,NA,NA,716,NA,26095,NA,NA,1,1
387,"17045463000993818","17","63","00099","3818",3,3,716,1,4,5,5,358316,3769484,2,16963,200,NA,100,1,1,1,1,1,5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,46646,2,NA,NA,1,NA,NA,21295,2,62422,2,162,2,1,2,NA,NA,1,NA,NA,NA,390,5,2,682,2,4,624,5,2,NA,NA,716,NA,16963,NA,NA,1,1
388,"17045463000993837","17","63","00099","3837",1,1,716,1,5,17,17,1000900,14004940,3,520983,25,0,100,1,1,1,1,1,17,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,1700,4,NA,NA,1,3400,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,170,5,4,1955,5,4,1445,5,4,NA,NA,716,NA,NA,520983,NA,1,1
389,"17045463000994171","17","63","00099","4171",1,1,716,1,14,1.96,1.96,114488,1422946,3,54641,25,4,96,1,1,1,1,1,1.96,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,150.92,4,NA,NA,1,NA,NA,7280,2,944.43,2,3148.11,2,1,1,36.14,5,1,NA,NA,NA,30.34,5,3,211.05,5,3,5.68,5,3,NA,NA,716,NA,NA,54641,NA,1,1
390,"17045463000994171","17","63","00099","4171",2,2,716,1,8,5.3,5.3,351970,3907573,3,150051,25,4,96,1,1,1,1,1,5.3,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,408.1,4,NA,NA,1,NA,NA,19685.74,2,2553.81,2,8512.75,2,1,1,97.73,5,1,NA,NA,NA,78.95,5,3,570.7,5,3,15.37,5,3,NA,NA,716,NA,NA,150051,NA,1,1
391,"17045463000994171","17","63","00099","4171",3,3,716,1,2,3.1,3.1,239964,2284678,3,87732,25,4,96,1,1,1,1,1,3.1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,238.7,4,NA,NA,1,NA,NA,11514.3,2,1493.74,2,4979.16,2,1,1,57.16,5,1,NA,NA,NA,47.99,5,3,333.81,5,3,8.99,5,3,NA,NA,716,NA,NA,87732,NA,1,1
392,"18085763000993811","18","63","00099","3811",1,1,716,1,8,1.7,1.6,112000,1e+06,2,36000,25,10,90,1,1,1,1,1,1.7,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,150,1,1,150,2,NA,NA,NA,NA,NA,NA,1,1,100,5,1,NA,NA,NA,40,5,4,200,5,2,100,5,4,0,0,716,NA,36000,NA,NA,1,1
